Ticker,First_Date,Last_Date,Days,Price,Return%,Volume,Avg_Volume
META,2012-05-18,2026-08-19,3583,551.3300170898438,1354.80388845969,7669666.0,27822985.44962322
GOOGL,2004-08-19,2026-08-19,5535,345.3450012207031,13775.179871896535,7127146.0,109631149.28672087
AMZN,1997-05-15,2026-08-19,7361,264.114990234375,269633.5454642782,13839307.0,131544908.23352805
MSFT,1986-03-13,2026-08-19,10187,485.70001220703125,821375.1399110057,6345578.0,55243411.70884461
