Date,Close,High,Low,Open,Volume
1999-01-22,0.03755906596779823,0.04471264761674725,0.03553166798710624,0.040062635504586434,2714688000
1999-01-25,0.04149391129612923,0.041970082946252145,0.037559073384359216,0.040539732709051146,510480000
1999-01-26,0.03827425464987755,0.04280522378974265,0.03767812064241062,0.041970089686728086,343200000
1999-01-27,0.038155194371938705,0.03934745848682357,0.036246841084886024,0.03839328013764074,244368000
1999-01-28,0.03803524747490883,0.03839329217323318,0.03779716163457125,0.038155206332895604,227520000
1999-01-29,0.036246851086616516,0.03815520490024848,0.036246851086616516,0.0380352460467659,244032000
1999-02-01,0.03696293756365776,0.03720102337642312,0.036246848249937846,0.036246848249937846,154704000
1999-02-02,0.03410131111741066,0.0372010141297421,0.033028091645645234,0.03624683924042646,264096000
1999-02-03,0.03481648862361908,0.03529357780959263,0.03338522447701148,0.03362422789160287,75120000
1999-02-04,0.03672395274043083,0.03767812826240926,0.0348165091062779,0.03529359857292464,181920000
1999-02-05,0.03779716417193413,0.03815520889429439,0.03636681374693774,0.037320074815756464,136848000
1999-02-08,0.03648584708571434,0.03815520064986013,0.03648584708571434,0.038035241809740654,154080000
1999-02-09,0.03505457937717438,0.03743910777068798,0.03457749016982158,0.037201018577323566,86976000
1999-02-10,0.034697454422712326,0.03600876000983523,0.0341013205254834,0.035054584857276146,148224000
1999-02-11,0.037678107619285583,0.03910845759181498,0.03481649003098046,0.03481649003098046,132240000
1999-02-12,0.039824552834033966,0.04006263863065982,0.038155199327733424,0.038155199327733424,109728000
1999-02-16,0.04006263241171837,0.04220907482138387,0.03600875099521913,0.04053972157421782,211008000
1999-02-17,0.037916216999292374,0.03958557143507809,0.03720104156790348,0.03910848193287968,67728000
1999-02-18,0.038512326776981354,0.0395855463605091,0.03743910719345361,0.03910845716051205,70704000
1999-02-19,0.039824552834033966,0.04053972786721805,0.03767811009117519,0.038155199327733424,75360000
1999-02-22,0.04006263241171837,0.04101681073671727,0.03791619000205287,0.04053972157421782,205248000
1999-02-23,0.04197007045149803,0.04280520417176391,0.03863228167723773,0.04101680979162777,138096000
1999-02-24,0.045308779925107956,0.05007875070746635,0.04423556037826853,0.048170397384028875,612768000
1999-02-25,0.04387843981385231,0.04864749742909152,0.04316234705683866,0.04721714379056985,149136000
1999-02-26,0.04185103997588158,0.0457858777218475,0.041493909547681056,0.04435552754491784,172608000
1999-03-01,0.04209004342556,0.04387844181864289,0.04006264496606328,0.042924263194635076,92160000
1999-03-02,0.041732002049684525,0.04220909139956718,0.041016826846622785,0.041970087902863606,55248000
1999-03-03,0.03887039050459862,0.041970095364639186,0.03863230460909074,0.041970095364639186,61392000
1999-03-04,0.03803524747490883,0.041016824634321554,0.037678117008745446,0.04077782115050898,57360000
1999-03-05,0.040181681513786316,0.04030072270134441,0.03839328348010707,0.03839328348010707,78768000
1999-03-08,0.04077783226966858,0.04197009708340916,0.03839330264218742,0.03910847800168672,75888000
1999-03-09,0.04209004342556,0.04268617736035894,0.040658778900862225,0.040658778900862225,143184000
1999-03-10,0.041373953223228455,0.04268617651031374,0.04077781930030082,0.04268617651031374,235344000
1999-03-11,0.039585553109645844,0.04137395138777708,0.039585553109645844,0.04065877628746586,54288000
1999-03-12,0.03887039050459862,0.03982456937400539,0.03815521517438735,0.03982456937400539,90768000
1999-03-15,0.04053973779082298,0.04101682714416653,0.03958555908413588,0.039824562582573234,108816000
1999-03-16,0.039228420704603195,0.04125490469989204,0.03887037605639711,0.04077781544252375,79152000
1999-03-17,0.03946651145815849,0.04030072775283699,0.03851233290630475,0.039585552660637804,51360000
1999-03-18,0.03994358703494072,0.04053971730889669,0.03863227850275106,0.03958553908429011,46320000
1999-03-19,0.04006263241171837,0.04125489649638496,0.03982454665205068,0.03982454665205068,105312000
1999-03-22,0.03887039050459862,0.04101683413892005,0.03887039050459862,0.04089687525313588,36672000
1999-03-23,0.03648584708571434,0.03910846151270178,0.03577067202774852,0.03910846151270178,163968000
1999-03-24,0.036246851086616516,0.036485851150141115,0.03481649740003376,0.036246851086616516,60864000
1999-03-25,0.03672395274043083,0.038155217729056,0.03600877395102021,0.03612781861240215,40320000
1999-03-26,0.03994358703494072,0.0400626281965934,0.03720101116584119,0.03720101116584119,88272000
1999-03-29,0.041135866194963455,0.04209004136085066,0.04042068767245225,0.041135866194963455,65952000
1999-03-30,0.037678107619285583,0.04161294480295432,0.03743910760634632,0.0412549001938554,69504000
1999-03-31,0.04030071943998337,0.04077780861750077,0.0370819750729851,0.03887036955062413,153600000
1999-04-01,0.03910845145583153,0.04053971884704625,0.03839327658177534,0.04030071546029262,30432000
1999-04-05,0.037916216999292374,0.03958557143507809,0.03767813107010189,0.03863231007449873,98640000
1999-04-06,0.03696293756365776,0.03839328772698739,0.036246848249937846,0.03827424652626153,69696000
1999-04-07,0.04006263241171837,0.04030071817138606,0.03696292932021804,0.03720101507988573,89280000
1999-04-08,0.04077783226966858,0.04197009708340916,0.03982457100491125,0.0403007428154273,130128000
1999-04-09,0.04006263241171837,0.04101681073671727,0.03982454665205068,0.04101681073671727,48624000
1999-04-12,0.038393281400203705,0.03958554555429617,0.03767810643639173,0.03958554555429617,33312000
1999-04-13,0.03684297204017639,0.039108455718548256,0.03624684167862556,0.039108455718548256,36144000
1999-04-14,0.03577067330479622,0.03755907154088423,0.03577067330479622,0.03672393761298385,48288000
1999-04-15,0.03672395274043083,0.03672395274043083,0.03577068803957138,0.03672395274043083,35856000
1999-04-16,0.037916216999292374,0.03851235117174368,0.03648586613651459,0.03648586613651459,38928000
1999-04-19,0.036246851086616516,0.038393290731646434,0.03577067601250669,0.038393290731646434,31296000
1999-04-20,0.03553168103098869,0.037678120983018495,0.03517363288358353,0.03624685627091283,67680000
1999-04-21,0.036127809435129166,0.0362468540662711,0.03529358960756218,0.03553167886984606,37488000
1999-04-22,0.03457750007510185,0.03624685395742468,0.03422036959406266,0.03624685395742468,227184000
1999-04-23,0.03290906175971031,0.03457750147750299,0.03267006166756311,0.034458456841890306,126048000
1999-04-26,0.031239701434969902,0.03338522643272214,0.03052360879245617,0.03290905145075039,123504000
1999-04-27,0.03457750007510185,0.034816500157555635,0.03147779580422416,0.03195488514824686,226944000
1999-04-28,0.03433942049741745,0.03481650651727233,0.03326619698254848,0.03481650651727233,120096000
1999-04-29,0.03433942049741745,0.03457750639116187,0.03362424517250335,0.03445846173863226,48144000
1999-04-30,0.03481648862361908,0.03624684194964353,0.03445844402899313,0.03469744744358452,99312000
1999-05-03,0.03505457937717438,0.03517362056254339,0.03410131519440595,0.03517362056254339,33840000
1999-05-04,0.033147141337394714,0.035054580589523585,0.03243196632325665,0.035054580589523585,96048000
1999-05-05,0.03386231139302254,0.03386231139302254,0.03147778326621104,0.0333852222390307,144576000
1999-05-06,0.03320666402578354,0.03433940774044966,0.03219296491942238,0.03362423268122055,35616000
1999-05-07,0.03338523581624031,0.03362423931200876,0.03219297126796078,0.03219297126796078,25008000
1999-05-10,0.03338523581624031,0.034101325248710554,0.03314714996399277,0.03314714996399277,19680000
1999-05-11,0.035173628479242325,0.03624685173218568,0.03410132286975587,0.03481649802012782,171744000
1999-05-12,0.036246851086616516,0.03636680994009909,0.035054586642745626,0.03553167594898209,168480000
1999-05-13,0.036246851086616516,0.037201026287775545,0.036127806465260585,0.036246851086616516,69936000
1999-05-14,0.03433942049741745,0.036246860578415335,0.03386233106624777,0.036246860578415335,28464000
1999-05-17,0.03600874915719032,0.03600874915719032,0.03374326568898664,0.03386231026840042,35760000
1999-05-18,0.037678107619285583,0.03815519682454416,0.035293579236239034,0.03636680224291584,151536000
1999-05-19,0.03600874915719032,0.04077780525242524,0.03541261885094231,0.03934745548110166,451728000
1999-05-20,0.033147141337394714,0.036246844827514384,0.03183583249860459,0.036246844827514384,178176000
1999-05-21,0.03243197873234749,0.032670064613729,0.03147779991955508,0.032670064613729,303504000
1999-05-24,0.032312020659446716,0.03338524073403549,0.03183584547349469,0.032670065428423434,162624000
1999-05-25,0.03255100175738335,0.03290904631713072,0.03219295719763597,0.03243196058894507,130080000
1999-05-26,0.03243197873234749,0.03410132942160298,0.03243197873234749,0.03243197873234749,104736000
1999-05-27,0.032192956656217575,0.032670045787692295,0.032192956656217575,0.032670045787692295,82320000
1999-05-28,0.03255100175738335,0.032670046337134336,0.03219295719763597,0.032670046337134336,88656000
1999-06-01,0.03267006203532219,0.03267006203532219,0.03195488680398798,0.032431976172731046,98544000
1999-06-02,0.03147778660058975,0.03267005079028965,0.03147778660058975,0.03267005079028965,130128000
1999-06-03,0.032312020659446716,0.03255102077910675,0.03195489012281138,0.032312020659446716,41568000
1999-06-04,0.03255100175738335,0.032670046337134336,0.03231200177738695,0.03255100175738335,78912000
1999-06-07,0.03290906175971031,0.03338523689084676,0.03267006166756311,0.0327295822797123,125136000
1999-06-08,0.033743273466825485,0.03433940732179531,0.032909053809461936,0.03302809841631554,153312000
1999-06-09,0.03433942049741745,0.03505459582233155,0.03386233106624777,0.03386233106624777,95184000
1999-06-10,0.034458450973033905,0.03457749558837129,0.03410132053833549,0.03433940976901026,36096000
1999-06-11,0.033743273466825485,0.034577493124189035,0.03255100916819933,0.03445844851733543,61008000
1999-06-14,0.03243197873234749,0.03386232930790291,0.03219297520733279,0.03380280527907156,51648000
1999-06-15,0.03243197873234749,0.032670064613729,0.03195488932595129,0.03243197873234749,49296000
1999-06-16,0.03338523581624031,0.0343394145122723,0.03243197476372923,0.03290906070043102,64416000
1999-06-17,0.03243197873234749,0.0336242434265214,0.03243197873234749,0.0331471540201252,74928000
1999-06-18,0.031239701434969902,0.032670051433471396,0.031239701434969902,0.032670051433471396,158736000
1999-06-21,0.03290906175971031,0.03290906175971031,0.03132853502310153,0.03219297230419053,83472000
1999-06-22,0.032312020659446716,0.03290906554808346,0.03159684194251995,0.03290906554808346,193056000
1999-06-23,0.03290906175971031,0.03290906175971031,0.03159683830520526,0.03195488644427946,210912000
1999-06-24,0.032192956656217575,0.033147134919167015,0.03195487091203242,0.033147134919167015,115200000
1999-06-25,0.03267006203532219,0.0330281067671125,0.03195488680398798,0.03195488680398798,73536000
1999-06-28,0.033147141337394714,0.03374327175073346,0.03243196632325665,0.03374327175073346,109152000
1999-06-29,0.03350519761443138,0.033981369360627005,0.03314715286684064,0.033624242256637536,92688000
1999-06-30,0.03648584708571434,0.03648584708571434,0.0338623184267021,0.03457749348466792,269232000
1999-07-01,0.03457750007510185,0.03648585403987847,0.032670060342524294,0.03648585403987847,88992000
1999-07-02,0.0370819978415966,0.0370819978415966,0.034339423324962426,0.03505459870876484,224880000
